1,1,1.47E-08,6.80E+06
2,1.5,1.27E-08,7.87E+06
3,2,2.42E-08,4.13E+06
4,2.5,7.18E-08,1.39E+06
5,3,1.69E-07,5.92E+05
6,3.5,1.72E-06,5.81E+04
7,4,3.78E-06,2.64E+04
8,5,6.24E-06,1.60E+04
9,-1,4.51E-06,2.22E+04
10,-2,1.30E-06,7.69E+04
11,-3,9.81E-08,1.02E+06
10,-4,1.47E-08,6.80E+06
